01_latin_order,02_latin_tokens,03_eng_direct_tokens,1656_en,1656_order,1656_order_diff,1743_en,1743_order,1743_order_diff,1872_en,1872_order,1872_order_diff,1886_en,1886_order,1886_order_diff,1916_en,1916_order,1916_order_diff,1936_en,1936_order,1936_order_diff
149.0,versibus,verses,assist,,,thee,145.0,4.0,thou,145.0,4.0,to,,,or,,,waxes,,
150.0,esse,are,these,,,a,,,then,,,be,,,of,,,glad,141.0,9.0
,,,studious,147.0,,companion,146.0,,companion,146.0,,glad,141.0,,lovely,143.0,,nor,142.0,
,,,numbers,,,to,,,to,,,or,,,born,,,lovely,143.0,
,,,with,,,my,,,the,,,lovely,143.0,,thee,145.0,,i,,
,,,thine,145.0,,lays,149.0,,verse,149.0,,fain,,,do,,,long,,
,,,ayde,146.0,,,,,,,,would,,,i,,,that,,
,,,,,,,,,,,,i,,,crave,,,thou,145.0,
,,,,,,,,,,,,have,,,co-partner,146.0,,shouldest,,
,,,,,,,,,,,,thee,145.0,,in,,,be,150.0,
,,,,,,,,,,,,for,,,that,,,my,,
,,,,,,,,,,,,a,,,verse,149.0,,helper,146.0,
,,,,,,,,,,,,helpmate,146.0,,,,,in,,
,,,,,,,,,,,,in,,,,,,writing,148.0,
,,,,,,,,,,,,writing,148.0,,,,,these,,
,,,,,,,,,,,,the,,,,,,verses,149.0,
,,,,,,,,,,,,verses,149.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
151.0,quos,whom,which,151.0,0.0,which,151.0,0.0,which,151.0,0.0,which,151.0,0.0,which,151.0,0.0,which,151.0,0.0
152.0,ego,I,i,152.0,0.0,now,,,i,152.0,0.0,i,152.0,0.0,i,152.0,0.0,i,152.0,0.0
153.0,de,about,essay,156.0,-3.0,i,152.0,1.0,for,,,essay,156.0,-3.0,presume,,,essay,156.0,-3.0
154.0,rerum,things,of,153.0,1.0,sing,156.0,-2.0,memmius,158.0,-4.0,to,,,on,153.0,1.0,to,,
155.0,natura,nature,natures,155.0,0.0,of,153.0,2.0,essay,,,pen,,,nature,155.0,0.0,trace,,
156.0,pangere,"to make, compose, write",works,154.0,2.0,nature,155.0,1.0,to,,,on,,,to,,,on,,
157.0,conor,try,to,,,i,,,frame,,,the,,,compose,,,the,,
158.0,memmiadae,Memmius,tell,,,devote,,,on,153.0,5.0,nature,155.0,3.0,for,,,nature,155.0,3.0
159.0,nostro,our,for,,,to,,,the,,,of,153.0,6.0,memmius,158.0,1.0,of,153.0,6.0
160.0,quem,whom,honor'd,,,my,159.0,1.0,True,,,things,154.0,6.0,mine,,,things,154.0,6.0
161.0,tu,you,memmius,158.0,3.0,dear,,,form,,,for,,,whom,160.0,1.0,for,,
162.0,dea,goddess,who,160.0,2.0,memmius,158.0,4.0,and,,,our,159.0,3.0,thou,161.0,1.0,the,,
163.0,tempore,times,doth,,,whom,160.0,3.0,nature,155.0,8.0,own,,,hast,,,son,,
164.0,in,in,most,,,thou,161.0,3.0,of,,,son,,,willed,168.0,-4.0,of,,
165.0,omni,all,excell,169.0,-4.0,art,,,all,,,of,,,to,,,the,,
166.0,omnibus,"all, everything",by,,,ever,163.0,3.0,things,154.0,12.0,the,,,be,,,memmii,158.0,8.0
167.0,ornatum," prepare, ornate, decorated, supply",thee,161.0,6.0,pleased,,,for,,,memmii,158.0,9.0,peerless,169.0,-2.0,my,159.0,8.0
168.0,voluisti,(you) wanted,accomplisht,,,sweet,,,him,,,whom,160.0,8.0,in,,,friend,,
169.0,excellere,excell in,goddess,162.0,7.0,goddess,162.0,7.0,whom,160.0,9.0,thou,161.0,8.0,every,165.0,4.0,whom,160.0,9.0
170.0,rebus,things,o,,,to,,,goddess,162.0,8.0,goddess,162.0,8.0,grace,,,thou,161.0,9.0
,,,bestow,,,adorn,167.0,,thou,161.0,,hast,,,at,,,goddess,162.0,
,,,eternal,165.0,,with,,,would'st,,,willed,168.0,,every,166.0,,through,164.0,
,,,grace,,,every,165.0,,have,,,to,,,hour--,,,all,165.0,
,,,,,,grace,169.0,,excel,169.0,,have,,,,,,his,,
,,,,,,,,,with,,,no,,,,,,life,,
,,,,,,,,,every,165.0,,peer,169.0,,,,,hast,,
,,,,,,,,,grace,,,rich,,,,,,willed,168.0,
,,,,,,,,,adorned,167.0,,as,,,,,,to,,
,,,,,,,,,,,,he,,,,,,be,,
,,,,,,,,,,,,ever,163.0,,,,,bright,167.0,
,,,,,,,,,,,,is,,,,,,with,,
,,,,,,,,,,,,in,,,,,,every,166.0,
,,,,,,,,,,,,every,165.0,,,,,grace,169.0,
,,,,,,,,,,,,grace,,,,,,beyond,,
,,,,,,,,,,,,,,,,,,his,,
,,,,,,,,,,,,,,,,,,fellows,,
,,,,,,,,,,,,,,,,,,,,
171.0,quo,"where, for, why",on,,,for,,,the,,,wherefore,171.0,0.0,wherefore,,,therefore,171.0,0.0
172.0,magis,more,what,,,him,,,rather,172.0,0.0,all,,,indeed,,,the,,
173.0,aeternum,eternal,from,,,kind,,,then,,,the,,,divine,176.0,-3.0,more,172.0,1.0
174.0,da,give,me,,,deity,176.0,-2.0,immortal,173.0,1.0,more,172.0,2.0,one,,,goddess,176.0,-2.0
175.0,dictis,words,shall,,,inspire,,,grace,177.0,-2.0,o,,,give,,,grant,,
176.0,diva,goddess,flow,175.0,1.0,my,,,give,174.0,2.0,lady,176.0,0.0,my,,,a,,
177.0,leporem,charm,that,,,song,,,goddess,176.0,1.0,lend,174.0,3.0,words,175.0,2.0,lasting,,
178.0,effice,"make, create, succeed",whilst,,,and,,,to,,,my,,,immortal,173.0,5.0,loveliness,177.0,1.0
179.0,ut,in,i,,,give,174.0,5.0,my,,,lays,175.0,4.0,charm,177.0,2.0,to,,
180.0,interea,meantime,write,,,immortal,173.0,7.0,words,175.0,5.0,an,,,lull,,,my,,
181.0,fera,beast,by,184.0,-3.0,beauty,177.0,4.0,and,,,everliving,173.0,8.0,to,,,words,175.0,6.0
182.0,moenera,"rewards, gift, duty",seas,185.0,-3.0,to,,,cause,178.0,4.0,charm,177.0,5.0,a,,,bring,,
183.0,militiai,of war,and,186.0,-3.0,my,,,meanwhile,180.0,3.0,cause,178.0,5.0,timely,,,it,,
184.0,per,for,land,187.0,-3.0,verse,175.0,9.0,that,,,meanwhile,180.0,4.0,rest,189.0,-5.0,to,,
185.0,maria,seas,may,,,mean,,,the,,,the,,,o'er,184.0,1.0,pass,,
186.0,ac,and,cease,,,time,,,fierce,181.0,5.0,savage,181.0,5.0,sea,185.0,1.0,that,,
187.0,terras,earth,fire,,,the,,,arts,182.0,5.0,works,182.0,5.0,and,186.0,1.0,meantime,180.0,7.0
188.0,omnis,"all, everybody",wars,183.0,5.0,bloody,181.0,7.0,of,,,of,,,land,187.0,1.0,the,,
189.0,sopita,"sleep, repose",clos'd,,,tumults,182.0,7.0,war,183.0,6.0,war,183.0,6.0,the,,,wild,181.0,8.0
190.0,quiescant,"sleep, repose, calmly, quietly",in,,,of,,,throughout,184.0,6.0,to,,,savage,181.0,9.0,works,182.0,8.0
,,,an,,,the,,,all,188.0,,be,,,works,182.0,,of,,
,,,everlasting,,,war,183.0,,seas,185.0,,lulled,190.0,,of,,,warfare,183.0,
,,,peace,189.0,,by,184.0,,and,186.0,,to,,,war,183.0,,may,,
,,,to,,,sea,185.0,,lands,187.0,,rest,189.0,,,,,be,,
,,,mortals,,,and,186.0,,hushed,190.0,,throughout,184.0,,,,,lulled,190.0,
,,,,,,land,187.0,,to,,,all,188.0,,,,,to,,
,,,,,,compose,190.0,,repose,,,seas,185.0,,,,,sleep,189.0,
,,,,,,and,,,may,,,and,186.0,,,,,over,184.0,
,,,,,,lay,,,rest,189.0,,lands,187.0,,,,,all,,
,,,,,,asleep,189.0,,,,,,,,,,,seas,185.0,
,,,,,,,,,,,,,,,,,,and,186.0,
,,,,,,,,,,,,,,,,,,lands,187.0,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
191.0,nam,for,thou,192.0,-1.0,for,191.0,0.0,for,191.0,0.0,for,191.0,0.0,for,191.0,0.0,for,191.0,0.0
192.0,tu,you,alone,193.0,-1.0,thou,192.0,0.0,thou,192.0,0.0,thou,192.0,0.0,thou,192.0,0.0,thou,192.0,0.0
193.0,sola,only,canst,194.0,-1.0,alone,193.0,0.0,alone,193.0,0.0,alone,193.0,0.0,alone,193.0,0.0,only,193.0,0.0
194.0,potes,can,rest,196.0,-2.0,mankind,198.0,-4.0,with,,,canst,194.0,0.0,hast,194.0,0.0,canst,194.0,0.0
195.0,tranquilla,tranquil,afford,,,with,,,tranquil,195.0,0.0,bless,197.0,-2.0,power,,,bless,197.0,-2.0
196.0,pace,peace,since,199.0,-3.0,quiet,195.0,1.0,peace,196.0,0.0,mankind,198.0,-2.0,with,,,mortal,198.0,-2.0
197.0,iuvare,help,mars,203.0,-6.0,peace,196.0,1.0,canst,194.0,3.0,with,,,public,,,men,,
198.0,mortalis,"mortals, humans",who,,,canst,194.0,4.0,mortals,198.0,0.0,calm,195.0,3.0,peace,196.0,2.0,with,,
199.0,quoniam,"for, since",is,,,bless,197.0,2.0,bless,197.0,2.0,peace,196.0,3.0,to,,,quiet,195.0,4.0
200.0,belli,war,of,,,because,199.0,1.0,since,199.0,1.0,seeing,,,aid,197.0,3.0,peace,196.0,4.0
201.0,fera,beast,direful,201.0,0.0,‘tis,,,mars,203.0,-2.0,that,199.0,2.0,mortality,198.0,3.0,since,199.0,2.0
202.0,moenera,,wars,200.0,2.0,mars,203.0,-1.0,potent,204.0,-2.0,mavors,203.0,-1.0,since,199.0,3.0,’tis,,
203.0,mavors,Mars,the,,,armipotent,204.0,-1.0,in,,,lord,204.0,-1.0,he,,,mavors,203.0,0.0
204.0,armipotens,in arms powerful,lord,205.0,-1.0,that,,,arms,,,of,,,who,,,the,,
205.0,regit,"to rule, to govern",on,206.0,-1.0,rules,205.0,0.0,rules,205.0,0.0,battle,,,rules,205.0,0.0,lord,204.0,1.0
206.0,in,in,thy,,,the,,,war,200.0,6.0,controls,205.0,1.0,the,,,of,,
207.0,gremium,"lap, bossom",fair,,,bloody,201.0,6.0,who,208.0,-1.0,the,,,savage,201.0,6.0,hosts,,
208.0,qui,who,bosom,207.0,1.0,tumults,202.0,6.0,oft,209.0,-1.0,savage,201.0,7.0,works,202.0,6.0,who,,
209.0,saepe,often,resting,212.0,-3.0,of,,,upon,206.0,3.0,works,202.0,7.0,of,,,guides,205.0,4.0
210.0,tuum,yours,oft,209.0,1.0,the,,,thy,210.0,0.0,of,,,battle,200.0,10.0,the,,
211.0,se,himself,his,211.0,0.0,war,200.0,11.0,bosom,207.0,4.0,war,200.0,11.0,puissant,204.0,7.0,wild,201.0,10.0
212.0,reiicit,rejects,head,,,and,,,sinks,,,mavors,,,mars,203.0,9.0,works,202.0,10.0
213.0,aeterno,"forever, eternal",with,,,he,211.0,2.0,o'erpowered,212.0,1.0,who,208.0,5.0,how,,,of,,
214.0,devictus,"defeated, conquered",lasting,213.0,1.0,by,,,and,,,often,209.0,5.0,often,209.0,5.0,war,200.0,14.0
215.0,vulnere,wound,wounds,215.0,0.0,everlasting,213.0,2.0,bound,214.0,1.0,flings,212.0,3.0,to,206.0,9.0,and,,
216.0,amoris,of love,of,,,pains,215.0,1.0,by,,,himself,211.0,5.0,thy,,,he,,
,,,love,216.0,,of,,,love's,216.0,,into,206.0,,bosom,207.0,,upon,206.0,
,,,is,,,love,216.0,,eternal,213.0,,thy,,,flings,212.0,,thy,210.0,
,,,vanquished,214.0,,bound,214.0,,wound,215.0,,lap,207.0,,his,211.0,,lap,207.0,
,,,,,,fast,,,,,,quite,,,strength,,,oft,209.0,
,,,,,,tastes,,,,,,vanquished,214.0,,o'ermastered,214.0,,flings,212.0,
,,,,,,in,206.0,,,,,by,,,by,,,himself,211.0,
,,,,,,thy,,,,,,the,,,the,,,back,,
,,,,,,lap,207.0,,,,,never-healing,213.0,,eternal,213.0,,conquered,214.0,
,,,,,,most,,,,,,wound,215.0,,wound,215.0,,by,,
,,,,,,sweet,,,,,,of,,,of,,,the,,
,,,,,,repose,,,,,,love,216.0,,love,216.0,,eternal,213.0,
,,,,,,,,,,,,,,,--,,,wound,215.0,
,,,,,,,,,,,,,,,,,,of,,
,,,,,,,,,,,,,,,,,,love,216.0,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
217.0,atque,and,and,,,turns,,,thence,218.0,-1.0,and,,,and,217.0,0.0,and,217.0,0.0
218.0,ita,so ,bending,219.0,-1.0,back,219.0,-1.0,looking,219.0,-1.0,then,218.0,0.0,there,218.0,0.0,then,218.0,0.0
219.0,suspiciens,looking up,his,,,his,,,up,,,with,,,with,,,pillowing,219.0,0.0
220.0,tereti,round,round,220.0,0.0,smooth,,,with,,,upturned,219.0,1.0,eyes,,,his,,
221.0,cervice,the neck,neck,221.0,0.0,long,220.0,1.0,rounded,220.0,1.0,face,,,and,,,shapely,220.0,1.0
222.0,reposta,"put down, to place, deposit",which,,,neck,221.0,1.0,neck,221.0,1.0,and,,,full,220.0,2.0,neck,221.0,1.0
223.0,pascit,feeds,on,,,and,,,turned,222.0,1.0,shapely,220.0,3.0,throat,221.0,2.0,upon,,
224.0,amore,love ,thee,,,views,230.0,-6.0,back,,,neck,221.0,3.0,backward,219.0,5.0,thee,,
225.0,avidos,"greedy, avid",lyes,222.0,3.0,thy,228.0,-3.0,and,,,thrown,222.0,3.0,thrown,,,and,,
226.0,inhians,"eager, gaping, yearning (open mouth)",with,,,charms,,,lips,,,back,,,gazing,,,looking,,
227.0,in,in,greedy,225.0,2.0,and,,,apart,226.0,1.0,feeds,223.0,4.0,my,,,up,,
228.0,te,you (acc),passion,226.0,2.0,greedily,225.0,3.0,feeding,223.0,5.0,with,,,goddess,229.0,-1.0,he,,
229.0,dea,goddess,feeds,223.0,6.0,sucks,223.0,6.0,his,,,love,224.0,5.0,open-mouthed,226.0,3.0,feeds,223.0,6.0
230.0,visus,see / sight,his,,,love,224.0,6.0,gaze,230.0,0.0,his,,,at,,,with,224.0,6.0
231.0,eque,,amorous,224.0,7.0,at,,,with,,,greedy,225.0,6.0,thee,228.0,3.0,love,,
232.0,tuo,yours,eyes,,,both,,,love,224.0,8.0,sight,230.0,2.0,pastures,,,his,,
233.0,pendet,"hang, suspend",whilst,,,his,,,supine,,,gazing,,,on,,,greedy,225.0,8.0
234.0,resupini,"bent back, lying on back, supine, reclined",on,,,eyes,,,suspends,233.0,1.0,goddess,229.0,5.0,love,224.0,10.0,eyes,,
235.0,spiritus,breath of,thy,,,supinely,234.0,1.0,his,,,open-mouthed,226.0,9.0,his,,,gazing,230.0,5.0
236.0,ore,mouth,lips,,,as,,,breath,235.0,1.0,on,227.0,9.0,greedy,225.0,11.0,wistfully,,
237.0,hunc,him,his,,,he,237.0,0.0,upon,,,thee,228.0,9.0,sight,230.0,7.0,towards,,
238.0,tu,you,fainting,,,rests,,,thy,,,and,,,his,,,thee,228.0,10.0
239.0,diva,goddess,soul,235.0,4.0,his,,,mouth,236.0,3.0,as,,,breath,235.0,4.0,while,,
240.0,tuo,on your,is,,,very,,,o'er,,,backward,234.0,6.0,hanging,,,as,,
241.0,recubantem,reclining,plac'd,233.0,8.0,soul,235.0,6.0,him,,,he,,,upon,,,he,,
242.0,corpore,body,and,,,hangs,233.0,9.0,recumbent,241.0,1.0,reclines,233.0,9.0,thy,,,lies,233.0,9.0
243.0,sancto,holy,he,,,on,,,hang,,,his,,,lips,236.0,7.0,back,234.0,9.0
244.0,circum,"round, around",within,,,thy,,,thy,,,breath,235.0,9.0,him,237.0,7.0,his,,
245.0,fusa,"to pour out, to shed | | round, spindle, spinning wheel ?",those,,,lips,236.0,9.0,sacred,243.0,2.0,stays,,,thus,,,breath,235.0,10.0
246.0,super,"on top, above",sacred,243.0,3.0,this,,,form,242.0,4.0,hanging,,,reclined,241.0,5.0,hangs,,
247.0,suavis,"sweet, grateful",arms,242.0,5.0,god,239.0,8.0,and,,,on,,,fill,,,upon,,
248.0,ex,from,enchac'd,,,dissolv’d,,,thus,,,thy,,,with,,,thy,,
249.0,ore,mouth,let,,,in,,,pour,245.0,4.0,lips,,,thy,,,lips,236.0,13.0
250.0,loquellas,"speech, words, chatter",charming,,,ease,,,thou,,,while,,,holy,243.0,7.0,do,,
251.0,funde,"to pour out, to shed",accents,250.0,1.0,in,,,from,248.0,3.0,then,,,body,242.0,9.0,thou,238.0,13.0
252.0,petens,"seek, look for",thy,,,the,,,thy,,,lady,239.0,13.0,round,244.0,8.0,goddess,239.0,13.0
253.0,placidam,"a mild, placid",sweet,247.0,6.0,soft,247.0,6.0,sweet,247.0,6.0,he,,,above,246.0,7.0,as,,
254.0,romanis,Romans,lips,249.0,5.0,moments,,,lips,249.0,5.0,is,,,pour,245.0,9.0,he,237.0,17.0
255.0,incluta,"celebrated, famous, glorious",inspire,,,when,,,sweet,,,reposing,241.0,14.0,from,248.0,7.0,leans,241.0,14.0
256.0,pacem,peace,and,,,thy,240.0,16.0,words,250.0,6.0,on,,,those,,,resting,,
,,,for,,,heavenly,243.0,,Imploring,252.0,,thy,240.0,,lips,249.0,,on,,
,,,sad,,,limbs,242.0,,Goddess,,,holy,243.0,,soft,247.0,,thy,240.0,
,,,rome,254.0,,cling,241.0,,placid,253.0,,body,242.0,,syllables,250.0,,sacred,243.0,
,,,an,,,round,244.0,,peace,256.0,,shed,245.0,,to,,,limbs,242.0,
,,,happy,253.0,,him,,,for,,,thyself,,,win,252.0,,bend,,
,,,peace,256.0,,melting,,,Rome,254.0,,about,244.0,,peace,256.0,,to,,
,,,require,252.0,,with,,,,,,him,,,for,,,embrace,,
,,,,,,eloquence,250.0,,,,,and,,,the,,,him,,
,,,,,,caress,,,,,,above,246.0,,romans,254.0,,and,,
,,,,,,great,,,,,,and,,,glorious,255.0,,pour,245.0,
,,,,,,goddess,,,,,,pour,,,lady,,,forth,,
,,,,,,and,,,,,,from,248.0,,peace,,,sweet,247.0,
,,,,,,implore,252.0,,,,,thy,,,,,,petition,250.0,
,,,,,,a,,,,,,lips,249.0,,,,,from,248.0,
,,,,,,peace,256.0,,,,,sweet,247.0,,,,,thy,,
,,,,,,for,,,,,,discourse,250.0,,,,,lips,249.0,
,,,,,,rome,254.0,,,,,asking,252.0,,,,,seeking,252.0,
,,,,,,,,,,,,glorious,,,,,,great,,
,,,,,,,,,,,,dame,,,,,,lady,,
,,,,,,,,,,,,gentle,253.0,,,,,gentle,253.0,
,,,,,,,,,,,,peace,256.0,,,,,peace,256.0,
,,,,,,,,,,,,for,,,,,,for,,
,,,,,,,,,,,,the,,,,,,the,,
,,,,,,,,,,,,romans,254.0,,,,,romans,254.0,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
257.0,nam,for,for,257.0,0.0,for,257.0,0.0,For,257.0,0.0,for,257.0,0.0,for,257.0,0.0,for,257.0,0.0
258.0,neque,neither,whilst,263.0,-5.0,neither,258.0,0.0,neither,258.0,0.0,neither,258.0,0.0,in,,,neither,258.0,0.0
259.0,nos,of us,our,,,can,265.0,-6.0,in,,,can,265.0,-6.0,a,,,can,265.0,-6.0
260.0,agere,"to act, lead, move",countrey,262.0,-2.0,i,259.0,1.0,our,,,we,259.0,1.0,season,263.0,-3.0,we,259.0,1.0
261.0,hoc,"here, in this place",thus,,,write,260.0,1.0,country's,262.0,-1.0,in,,,troublous,264.0,-3.0,in,,
262.0,patriai,fatherland,afflicted,264.0,-2.0,with,,,adverse,264.0,-2.0,our,,,to,,,our,,
263.0,tempore,times,lies,,,cheerful,266.0,-3.0,hours,263.0,0.0,country’s,262.0,1.0,the,,,country’s,262.0,1.0
264.0,iniquo,"uneven, unjust, evil, wicked",with,,,strains,267.0,-3.0,Can,265.0,-1.0,day,263.0,1.0,state,262.0,2.0,time,263.0,1.0
265.0,possumus,can,what,,,in,,,I,259.0,6.0,of,,,neither,258.0,7.0,of,,
266.0,aequo,equally,content,,,times,263.0,3.0,with,,,trouble,264.0,2.0,may,265.0,1.0,trouble,264.0,2.0
267.0,animo,animated,can,265.0,2.0,so,,,tranquil,266.0,1.0,with,,,i,259.0,8.0,set,260.0,7.0
268.0,nec,not,we,259.0,9.0,sad,264.0,4.0,mind,267.0,1.0,untroubled,266.0,2.0,attend,260.0,8.0,to,,
269.0,memmi,Memmii,philosophize,260.0,9.0,nor,268.0,1.0,this,,,mind,267.0,2.0,this,272.0,-3.0,our,,
270.0,clara,bright,nor,,,can,,,theme,,,think,260.0,10.0,task,274.0,-4.0,task,274.0,-4.0
271.0,propago,"propagate, increase, flourish",may,,,the,,,pursue,260.0,11.0,only,,,of,,,with,,
272.0,talibus,such,brave,270.0,2.0,noble,270.0,2.0,Nor,268.0,4.0,of,,,mine,,,mind,267.0,5.0
273.0,in,in ,memmius,269.0,4.0,house,271.0,2.0,can,,,our,,,with,,,undistressed,266.0,7.0
274.0,rebus,things,then,,,of,,,a,,,work,,,thought,267.0,7.0,nor,268.0,6.0
275.0,communi,"common, societal, of society",wanting,276.0,-1.0,memmius,269.0,6.0,scion,271.0,4.0,nor,268.0,7.0,untroubled,266.0,9.0,amid,,
276.0,desse,"missing, in need, wanting",be,,,desert,,,of,,,can,,,nor,268.0,8.0,such,,
277.0,saluti,"welfare, health",to,,,the,,,the,,,the,,,mid,,,doings,,
,,,th',,,common,275.0,,Memmian,269.0,,illustrious,270.0,,such,,,can,,
,,,publike,275.0,,good,277.0,,stock,270.0,,offset,271.0,,events,,,memmius’s,269.0,
,,,peace,277.0,,in,273.0,,Be,,,of,,,the,,,noble,270.0,
,,,in,273.0,,such,272.0,,such,,,memmius,269.0,,illustrious,270.0,,son,271.0,
,,,such,272.0,,distress,276.0,,time,,,in,,,scion,271.0,,fail,276.0,
,,,perplexitie,274.0,,of,,,wanting,276.0,,times,,,of,,,the,,
,,,,,,things,274.0,,to,,,like,,,the,,,fortunes,277.0,
,,,,,,,,,the,,,these,,,memmian,269.0,,of,,
,,,,,,,,,common,275.0,,be,,,house,,,the,,
,,,,,,,,,weal,277.0,,wanting,276.0,,neglect,276.0,,state,275.0,
,,,,,,,,,,,,to,,,the,,,,,
,,,,,,,,,,,,the,,,civic,275.0,,,,
,,,,,,,,,,,,general,275.0,,cause,277.0,,,,
,,,,,,,,,,,,weal,277.0,,,,,,,
